company,date,headline,description,source,url,sentiment,sentiment_score,scraped_at
Infosys,2026-04-16,"India produces over 1.5M CS graduates annually, but scale is no longer an advantage with the rise of AI coding tools; Infosys revamps hiring to focus on AI (Saritha Rai/Bloomberg)","Saritha Rai / Bloomberg:
India produces over 1.5M CS graduates annually, but scale is no longer an advantage with the rise of AI coding tools; Infosys revamps hiring to focus on AI  —  Companies like Infosys are running their new hires through many weeks of t…",Techmeme.com,https://www.techmeme.com/260416/p5,Positive,0.3181818181818182,2026-05-02T10:39:20.109478
Infosys,2026-04-24,Infosys Q4 Earnings Call Highlights,,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_90fb7e33-9bfc-4ab5-97b7-e2abdbb1a5a1,Neutral,0.0,2026-05-02T10:39:20.110044
Infosys,2026-04-27,India tech giants struggle to shake off $115 billion rout,"India's top software exporters are facing investor concerns over growth, with Infosys and HCL Technologies reporting results below expectations. This downturn, exacerbated by a weak global economy and AI disruption, has led to a significant drop in the IT sec…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/earnings/india-tech-giants-struggle-to-shake-off-115-billion-rout/articleshow/130541628.cms,Positive,0.125,2026-05-02T10:39:20.111619
Infosys,2026-04-07,Non-life insurers seen holding up better than life peers,"Indian insurers anticipate subdued Q4 earnings due to equity market declines impacting investment gains. While life insurers face muted profitability and slower demand for ULIPs and guaranteed products, general and health insurers are poised for robust growth.",The Times of India,https://economictimes.indiatimes.com/markets/stocks/earnings/non-life-insurers-seen-holding-up-better-than-life-peers/articleshow/130073489.cms,Positive,0.1416666666666667,2026-05-02T10:39:20.112909
Infosys,2026-05-01,G-Sec 10-year yield tops 7% as oil soars,"Mumbai's 10-year benchmark government bond yield surpassed 7% to close at 7.01% on Thursday, driven by rising crude oil prices and hawkish Federal Reserve comments.  Money market rates also climbed amid shrinking banking liquidity, indicating tighter global f…",The Times of India,https://economictimes.indiatimes.com/markets/bonds/g-sec-10-year-yield-tops-7-as-oil-soars/articleshow/130661336.cms,Negative,-0.35,2026-05-02T10:39:20.113821
Infosys,2026-04-30,Deposit rates pick up as banks signal upward repricing cycle,"Bank deposit rates across the Indian banking system rose in March 2026, according to data released by the Reserve Bank of India. The weighted average domestic term deposit rate (WADTDR) on fresh rupee deposits increased by 42 basis points to 6.07% in March fr…",The Times of India,https://economictimes.indiatimes.com/industry/banking/finance/deposit-rates-pick-up-as-banks-signal-upward-repricing-cycle/articleshow/130661602.cms,Positive,0.1875,2026-05-02T10:39:20.114632
Infosys,2026-04-07,Telecom earnings likely to stay subdued in Q4,"Telecom operators are poised for a muted March quarter, with analysts anticipating steady underlying growth tempered by fewer operating days and rising energy costs. Investor focus is shifting towards upcoming tariff hikes, expected between 10-20% in the next…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/earnings/telecom-earnings-likely-to-stay-subdued-in-q4/articleshow/130073450.cms,Neutral,0.022222222222222216,2026-05-02T10:39:20.115311
Infosys,2026-04-09,RBI's move to scrap investment buffer could lift banks' capital,Banks may soon see their capital positions improve. The central bank proposes to remove the Investment Fluctuation Reserve. This move could help lenders recover losses on bond investments. Accumulated reserves might transfer to core capital. This could boost …,The Times of India,https://economictimes.indiatimes.com/industry/banking/finance/banking/rbis-move-to-scrap-investment-buffer-could-lift-banks-capital/articleshow/130156335.cms,Neutral,0.0,2026-05-02T10:39:20.116062
Infosys,2026-04-22,"It's not just war that brought rupee down, it needs better support","The West Asia conflict has accelerated INR depreciation, necessitating a rethink of India's economic fundamentals. Short-term measures include raising domestic interest rates and equalizing onshore tax regulations for asset classes. Longer-term, building worl…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/its-not-just-war-that-brought-rupee-down-it-needs-better-support/articleshow/130429626.cms,Positive,0.13611111111111113,2026-05-02T10:39:20.116761
Infosys,2026-04-25,"Elon Musk's case against OpenAI, Sam Altman set to go for trial","A US judge has dismissed Elon Musk's fraud claims in his lawsuit against OpenAI and Sam Altman. The case will now proceed to trial on Musk's claims of breach of charitable trust and unjust enrichment. Jury selection begins Monday, with opening arguments Tuesd…",The Times of India,https://economictimes.indiatimes.com/markets/us-stocks/news/elon-musks-case-against-chatgpt-maker-openai-sam-altman-set-to-go-for-trial-fraud-claims-withdrawn/articleshow/130518414.cms,Positive,0.6,2026-05-02T10:39:20.117408
